18:54:27; legoDBuddy; [-18, -14]
18:54:32; legoDBuddy; [-18, -14]
18:54:37; legoDBuddy; [-18, -14]
18:54:42; legoDBuddy; [-18, -14]
18:54:47; legoDBuddy; [-18, -14]
18:54:52; legoDBuddy; [-18, -14]
18:54:57; legoDBuddy; [-18, -14]
18:55:02; legoDBuddy; [-18, -14]
18:55:07; legoDBuddy; [-18, -14]
18:55:12; legoDBuddy; [-18, -14]
18:55:17; legoDBuddy; [-18, -14]
18:55:22; legoDBuddy; [-18, -14]
18:55:27; legoDBuddy; [-18, -14]
18:55:32; legoDBuddy; [-18, -14]
18:55:37; legoDBuddy; [-18, -14]
18:55:42; legoDBuddy; [-18, -14]
18:55:47; legoDBuddy; [-18, -14]
18:55:52; legoDBuddy; [-18, -14]
18:55:57; legoDBuddy; [-18, -14]
18:56:02; legoDBuddy; [-18, -14]
18:56:07; legoDBuddy; [-18, -14]
18:56:12; legoDBuddy; [-18, -14]
18:56:17; legoDBuddy; [-18, -14]
18:56:22; legoDBuddy; [-18, -14]
18:56:27; legoDBuddy; [-18, -14]
18:56:32; legoDBuddy; [-18, -14]
18:56:37; legoDBuddy; [-18, -14]
18:56:42; legoDBuddy; [-18, -14]
18:56:47; legoDBuddy; [-18, -14]
18:56:52; legoDBuddy; [-18, -14]
18:56:57; legoDBuddy; [-18, -14]
18:57:02; legoDBuddy; [-18, -14]
18:57:07; legoDBuddy; [-18, -14]
18:57:12; legoDBuddy; [-18, -14]
18:57:17; legoDBuddy; [-18, -14]
18:57:22; legoDBuddy; [-18, -14]
18:57:27; legoDBuddy; [-18, -14]
18:57:32; legoDBuddy; [-18, -14]
18:57:37; legoDBuddy; [-18, -14]
18:57:42; legoDBuddy; [-18, -14]
18:57:47; legoDBuddy; [-18, -14]
18:57:52; legoDBuddy; [-18, -14]
18:57:57; legoDBuddy; [-18, -14]
18:58:02; legoDBuddy; [-18, -14]
18:58:07; legoDBuddy; [-18, -14]
18:58:12; legoDBuddy; [-18, -14]
18:58:17; legoDBuddy; [-18, -14]
18:58:22; legoDBuddy; [-18, -14]
18:58:27; legoDBuddy; [-18, -14]
18:58:32; legoDBuddy; [-18, -14]
18:58:37; legoDBuddy; [-18, -14]
18:58:42; legoDBuddy; [-18, -14]
18:58:47; legoDBuddy; [-18, -14]
18:58:52; legoDBuddy; [-18, -14]
18:58:57; legoDBuddy; [-18, -14]
18:59:02; legoDBuddy; [-18, -14]
18:59:07; legoDBuddy; [-18, -14]
18:59:12; legoDBuddy; [-18, -14]
18:59:17; legoDBuddy; [-18, -14]
18:59:22; legoDBuddy; [-18, -14]
18:59:27; legoDBuddy; [-18, -14]
18:59:32; legoDBuddy; [-18, -14]
18:59:37; legoDBuddy; [-18, -14]
18:59:42; legoDBuddy; [-18, -14]
18:59:47; legoDBuddy; [-18, -14]
18:59:52; legoDBuddy; [-18, -14]
18:59:57; legoDBuddy; [-18, -14]
19:00:02; legoDBuddy; [-18, -14]
19:00:07; legoDBuddy; [-18, -14]
19:00:12; legoDBuddy; [-18, -14]
19:00:17; legoDBuddy; [-18, -14]
19:00:22; legoDBuddy; [-18, -14]
19:00:27; legoDBuddy; [-18, -14]
19:00:32; legoDBuddy; [-18, -14]
19:00:37; legoDBuddy; [-18, -14]
19:00:42; legoDBuddy; [-18, -14]
19:00:47; legoDBuddy; [-18, -14]
19:00:52; legoDBuddy; [-18, -14]
19:00:57; legoDBuddy; [-18, -14]
19:01:02; legoDBuddy; [-18, -14]
19:01:07; legoDBuddy; [-18, -14]
19:01:12; legoDBuddy; [-18, -14]
19:01:17; legoDBuddy; [-18, -14]
19:01:22; legoDBuddy; [-18, -14]
19:01:27; legoDBuddy; [-18, -14]
19:01:32; legoDBuddy; [-18, -14]
19:01:37; legoDBuddy; [-18, -14]
19:01:42; legoDBuddy; [-18, -14]
19:01:47; legoDBuddy; [-18, -14]
19:01:52; legoDBuddy; [-18, -14]
19:01:57; legoDBuddy; [-18, -14]
19:02:02; legoDBuddy; [-18, -14]
19:02:07; legoDBuddy; [-17, -14]
19:02:12; legoDBuddy; [-21, -13]
19:02:17; legoDBuddy; [-21, -14]
19:02:22; legoDBuddy; [-17, -14]
19:02:27; legoDBuddy; [-16, -14]
19:02:32; legoDBuddy; [-16, -14]
19:02:37; legoDBuddy; [-17, -14]
19:02:42; legoDBuddy; [-21, -13]
19:02:47; legoDBuddy; [-20, -10]
19:02:52; legoDBuddy; [-17, -2]
19:02:57; legoDBuddy; [-17, 0]
19:03:02; legoDBuddy; [-20, 3]
19:03:07; legoDBuddy; [-20, 2]
19:03:12; legoDBuddy; [-20, 2]
19:03:17; legoDBuddy; [-21, 2]
19:03:22; legoDBuddy; [-21, 2]
19:03:27; legoDBuddy; [-21, 2]
19:03:32; legoDBuddy; [-20, 2]
19:03:37; legoDBuddy; [-20, 2]
19:03:42; legoDBuddy; [-20, 3]
19:03:47; legoDBuddy; [-19, 3]
19:03:52; legoDBuddy; [-17, -1]
19:03:57; legoDBuddy; [-20, -8]
19:04:02; legoDBuddy; [-20, -13]
19:04:07; legoDBuddy; [-17, -14]
19:04:12; legoDBuddy; [-18, -14]
19:04:17; legoDBuddy; [-18, -14]
19:04:22; legoDBuddy; [-18, -14]
19:04:27; legoDBuddy; [-18, -14]
19:04:32; legoDBuddy; [-18, -14]
19:04:37; legoDBuddy; [-18, -14]
19:04:42; legoDBuddy; [-18, -14]
19:04:47; legoDBuddy; [-18, -14]
19:04:52; legoDBuddy; [-18, -14]
19:04:57; legoDBuddy; [-18, -14]
19:05:02; legoDBuddy; [-18, -14]
19:05:07; legoDBuddy; [-18, -14]
19:05:12; legoDBuddy; [-18, -14]
19:05:17; legoDBuddy; [-18, -14]
19:05:22; legoDBuddy; [-18, -14]
19:05:27; legoDBuddy; [-18, -14]
19:05:32; legoDBuddy; [-18, -14]
19:05:37; legoDBuddy; [-18, -14]
19:05:42; legoDBuddy; [-18, -14]
19:05:47; legoDBuddy; [-18, -14]
19:05:52; legoDBuddy; [-18, -14]
19:05:57; legoDBuddy; [-18, -14]
19:06:02; legoDBuddy; [-18, -14]
19:06:07; legoDBuddy; [-18, -14]
19:06:12; legoDBuddy; [-18, -14]
19:06:17; legoDBuddy; [-18, -14]
19:06:22; legoDBuddy; [-18, -14]
19:06:27; legoDBuddy; [-18, -14]
19:06:32; legoDBuddy; [-18, -14]
19:06:37; legoDBuddy; [-18, -14]
19:06:42; legoDBuddy; [-18, -14]
19:06:47; legoDBuddy; [-18, -14]
19:06:52; legoDBuddy; [-18, -14]
19:06:57; legoDBuddy; [-18, -14]
19:07:02; legoDBuddy; [-18, -14]
19:07:07; legoDBuddy; [-18, -14]
