22:27:16; Anip24; [-4, -90]
22:27:21; Anip24; [-4, -90]
22:27:26; Anip24; [-5, -89]
22:27:31; Anip24; [-6, -89]
22:27:36; Anip24; [-5, -89]
22:27:41; Anip24; [-4, -90]
22:27:46; Anip24; [-5, -89]
22:27:51; Anip24; [-5, -91]
22:27:56; Anip24; [-5, -91]
22:28:01; Anip24; [-5, -91]
22:28:06; Anip24; [-5, -91]
22:28:11; Anip24; [-5, -92]
22:28:16; Anip24; [-5, -92]
22:28:21; Anip24; [-5, -91]
22:28:26; Anip24; [-4, -90]
22:28:31; Anip24; [-5, -90]
22:28:36; Anip24; [-5, -90]
22:28:41; Anip24; [-4, -90]
22:28:46; Anip24; [-4, -90]
22:28:51; Anip24; [-4, -90]
22:28:56; Anip24; [-4, -90]
22:29:01; Anip24; [-4, -90]
22:29:06; Anip24; [-4, -90]
22:29:11; Anip24; [-4, -90]
22:29:16; Anip24; [-4, -91]
22:29:21; Anip24; [-4, -91]
22:29:26; Anip24; [-4, -91]
22:29:31; Anip24; [-5, -92]
22:29:36; Anip24; [-5, -91]
22:29:41; Anip24; [-5, -91]
22:29:46; Anip24; [-5, -91]
22:29:51; Anip24; [-5, -91]
22:29:56; Anip24; [-5, -91]
22:30:01; Anip24; [-5, -91]
22:30:06; Anip24; [-5, -91]
22:30:11; Anip24; [-5, -91]
22:30:16; Anip24; [-5, -91]
22:30:21; Anip24; [-5, -91]
22:30:26; Anip24; [-5, -91]
22:30:31; Anip24; [-5, -91]
22:30:36; Anip24; [-5, -91]
22:30:41; Anip24; [-5, -91]
22:30:46; Anip24; [-5, -91]
22:30:51; Anip24; [-5, -91]
22:30:56; Anip24; [-5, -91]
22:31:01; Anip24; [-4, -91]
22:31:06; Anip24; [-4, -91]
22:31:11; Anip24; [-4, -91]
22:31:16; Anip24; [-4, -91]
22:31:21; Anip24; [-4, -91]
22:31:26; Anip24; [-4, -91]
22:31:31; Anip24; [-5, -91]
22:31:36; Anip24; [-5, -91]
22:31:41; Anip24; [-5, -91]
22:31:46; Anip24; [-5, -92]
22:31:51; Anip24; [-5, -91]
22:31:56; Anip24; [-4, -92]
22:32:01; Anip24; [-5, -92]
22:32:06; Anip24; [-5, -92]
22:32:11; Anip24; [-5, -92]
22:32:16; Anip24; [-5, -92]
22:32:21; Anip24; [-5, -91]
22:32:26; Anip24; [-5, -91]
22:32:31; Anip24; [-5, -92]
22:32:36; Anip24; [-7, -92]
22:32:41; Anip24; [-8, -93]
22:32:46; Anip24; [-8, -93]
22:32:51; Anip24; [-8, -93]
22:32:56; Anip24; [-7, -94]
22:33:01; Anip24; [-7, -94]
22:33:06; Anip24; [-6, -94]
22:33:11; Anip24; [-5, -94]
22:33:16; Anip24; [-4, -95]
22:33:21; Anip24; [-4, -96]
22:33:26; Anip24; [-5, -97]
22:33:31; Anip24; [-4, -99]
22:33:36; Anip24; [-3, -99]
22:33:41; Anip24; [-3, -101]
22:33:46; Anip24; [-2, -102]
22:33:51; Anip24; [-2, -103]
22:33:56; Anip24; [-2, -103]
22:34:01; Anip24; [-2, -103]
22:34:06; Anip24; [-2, -103]
22:34:11; Anip24; [-3, -103]
22:34:16; Anip24; [-3, -102]
22:34:21; Anip24; [-3, -101]
22:34:26; Anip24; [-3, -100]
22:34:31; Anip24; [-4, -99]
22:34:36; Anip24; [-4, -97]
22:34:41; Anip24; [-4, -96]
22:34:46; Anip24; [-4, -96]
22:34:51; Anip24; [-4, -94]
22:34:56; Anip24; [-4, -94]
22:35:01; Anip24; [-5, -93]
22:35:06; Anip24; [-5, -93]
22:35:11; Anip24; [-5, -91]
22:35:16; Anip24; [-5, -91]
22:35:21; Anip24; [-5, -91]
22:35:26; Anip24; [-5, -91]
22:35:31; Anip24; [-5, -91]
22:35:36; Anip24; [-5, -91]
22:35:41; Anip24; [-5, -91]
22:35:46; Anip24; [-5, -91]
22:35:51; Anip24; [-5, -91]
22:35:56; Anip24; [-5, -91]
22:36:01; Anip24; [-5, -91]
22:36:06; Anip24; [-5, -91]
22:36:11; Anip24; [-5, -91]
22:36:16; Anip24; [-5, -91]
22:36:21; Anip24; [-5, -91]
22:36:26; Anip24; [-5, -91]
22:36:31; Anip24; [-5, -91]
22:36:36; Anip24; [-5, -91]
22:36:41; Anip24; [-5, -92]
22:36:46; Anip24; [-7, -92]
22:36:51; Anip24; [-8, -93]
22:36:56; Anip24; [-8, -94]
22:37:01; Anip24; [-8, -94]
22:37:06; Anip24; [-8, -94]
22:37:11; Anip24; [-8, -94]
22:37:16; Anip24; [-8, -94]
22:37:21; Anip24; [-8, -93]
22:37:26; Anip24; [-7, -94]
22:37:31; Anip24; [-7, -94]
22:37:36; Anip24; [-7, -94]
22:37:41; Anip24; [-7, -94]
22:37:46; Anip24; [-7, -93]
22:37:51; Anip24; [-5, -92]
22:37:56; Anip24; [-6, -92]
22:38:01; Anip24; [-7, -91]
22:38:06; Anip24; [-7, -91]
22:38:11; Anip24; [-7, -91]
22:38:16; Anip24; [-7, -91]
22:38:21; Anip24; [-7, -91]
22:38:26; Anip24; [-7, -91]
22:38:31; Anip24; [-7, -91]
22:38:36; Anip24; [-7, -91]
22:38:41; Anip24; [-7, -91]
22:38:46; Anip24; [-7, -91]
22:38:51; Anip24; [-7, -91]
22:38:56; Anip24; [-7, -91]
22:39:01; Anip24; [-7, -91]
22:39:06; Anip24; [-7, -91]
22:39:11; Anip24; [-7, -91]
22:39:16; Anip24; [-7, -91]
22:39:21; Anip24; [-7, -91]
22:39:26; Anip24; [-7, -91]
22:39:31; Anip24; [-7, -91]
22:39:36; Anip24; [-7, -91]
22:39:41; Anip24; [-7, -91]
22:39:46; Anip24; [-7, -92]
22:39:51; Anip24; [-7, -92]
22:39:56; Anip24; [-6, -92]
22:40:01; Anip24; [-6, -93]
22:40:06; Anip24; [-7, -93]
22:40:11; Anip24; [-7, -94]
22:40:16; Anip24; [-7, -93]
22:40:21; Anip24; [-7, -91]
22:40:26; Anip24; [-7, -91]
22:40:31; Anip24; [-7, -91]
22:40:36; Anip24; [-7, -91]
22:40:41; Anip24; [-7, -91]
22:40:46; Anip24; [-7, -91]
22:40:51; Anip24; [-7, -91]
22:40:56; Anip24; [-7, -91]
22:41:01; Anip24; [-7, -92]
22:41:06; Anip24; [-5, -92]
22:41:11; Anip24; [-7, -93]
22:41:16; Anip24; [-7, -94]
22:41:21; Anip24; [-7, -94]
22:41:26; Anip24; [-7, -94]
22:41:31; Anip24; [-7, -94]
22:41:36; Anip24; [-7, -94]
22:41:41; Anip24; [-7, -92]
22:41:46; Anip24; [-7, -91]
